1,123,242,256,232,0.753914,-50.4288,59939
1,138,228,258,237,8.06196,-62.4729,417
1,287,219,385,234,19.9661,-90,708
1,238,259,354,261,2.86598,-42.305,1102
1,242,256,362,258,0.716216,-41.2999,1481
1,228,253,346,257,1.46928,-46.0545,1868
1,221,248,341,252,4.89706,-48.5904,2350
1,219,246,340,249,0,-55.0848,2793
1,200,247,312,245,-6.62581,-42.8436,3267
1,212,252,331,250,5.37938,-46.0545,3711
1,214,252,331,252,5.37938,-46.0545,4170
1,211,251,331,251,1.46928,-46.0545,4631
1,214,246,330,244,7.52463,-52.4153,5077
1,225,243,340,245,11.537,-42.305,5506
1,222,248,338,250,8.84988,-38.3161,5947
1,220,247,337,247,6.42152,-46.8166,6434
1,217,246,335,246,4.2624,-39.665,6926
1,213,225,330,225,0.753914,-78.2842,7276
1,216,238,333,240,4.90629,-35.6853,7606
1,217,241,333,241,5.88684,-39.7918,8123
1,217,241,334,241,9.71515,-42.8436,8548
1,220,239,335,237,9.46666,-41.8103,8873
1,227,228,345,214,12.1532,-43.4325,9203
1,223,235,340,235,5.88684,-39.7918,9713
1,224,235,339,235,3.48635,-32.1349,10073
1,220,235,339,235,4.15003,-43.4325,10566
1,218,233,338,233,4.15003,-40.2282,11071
1,216,235,338,237,-3.87429,-46.3363,11424
1,220,237,336,237,0.774291,-39.665,11734
1,221,236,338,236,8.1072,-42.8436,12003
1,217,234,336,236,-1.50796,-46.3363,12256
1,218,236,337,236,-1.50796,-43.4325,12621
1,215,237,336,237,-6.20627,-42.9102,13064
1,233,225,348,225,17.7013,-48.1317,13479
1,234,213,349,203,12.4318,-62.734,13901
1,225,229,339,231,5.17959,-35.9413,14350
1,221,229,338,229,7.54183,-36.8699,14832
1,223,227,336,229,5.28473,-37.1689,15330
1,230,227,342,229,9.59407,-35.9413,15815
1,233,225,337,229,10.7028,-35.2944,16343
1,236,226,338,228,12.4318,-33.749,16831
1,231,221,337,224,-0.421296,-41.2306,17252
1,231,222,344,220,5.28473,-37.1689,17733
1,232,220,346,220,8.70319,-34.2289,18221
1,225,217,345,219,-3.18474,-33.749,18710
1,226,221,343,219,-0.7958,-30,19182
1,174,251,280,242,0.409259,-26.3878,19655
1,237,142,333,151,4.78019,-31.449,26479
1,239,146,367,155,9.83037,-45.8058,24877
1,189,164,270,166,55.0615,-45.161,34565
1,285,269,372,262,-1.06109,-31.9657,56671
1,281,296,373,288,-2.86598,-49.7434,57124
1,272,295,371,282,-12.8396,-43.2918,57518
1,257,278,371,269,-24.9871,-33.749,57800
1,264,279,374,274,-20.9248,-51.0576,58179
1,285,285,386,281,0,-34.8499,58603
1,283,270,377,274,-7.18076,-51.3752,58933
1,271,261,363,257,7.18076,-35.6853,115
